FHD: 10 Things I Hate About You (1999): 1280 x 720 | 1hr 37 mins
HD: 17 Again (2009): 1280 x 544 | 1hr 41 mins
HD: 21 & Over (2013): 1280 x 536 | 1hr 33 mins
FHD: 300 (2006): 1920 x 800 | 1hr 56 mins
HD: A Good Day to Die Hard (2013): 1280 x 694 | 1hr 41 mins
HD: A Thousand Words (2012): 1280 x 528 | 1hr 31 mins
HD: Abraham Lincoln- Vampire Hunter (2012): 1280 x 534 | 1hr 45 mins
FHD: After Earth (2013): 1920 x 800 | 1hr 40 mins
FHD: Alice in Wonderland (2010): 1920 x 1080 | 1hr 48 mins
HD: Argo (2012): 1280 x 544 | 2hr 0 mins
HD: Cats and Dogs 2- The Revenge of Kitty Galore (2010): 1280 x 544 | 1hr 22 mins
HD: Chalet Girl (2011): 1280 x 688 | 1hr 36 mins
HD: Clash of the Titans (2010): 1280 x 528 | 1hr 46 mins
HD: Cloudy with a Chance of Meatballs (2009): 1280 x 544 | 1hr 29 mins
HD: Cloudy with a Chance of Meatballs 2 (2013): 1280 x 536 | 1hr 34 mins
HD: Delivery Man (2013): 1280 x 536 | 1hr 44 mins
HD: Despicable Me (2010): 1280 x 696 | 1hr 34 mins
HD: Despicable Me 2 (2013): 1280 x 696 | 1hr 37 mins
HD: Divergent (2014): 1280 x 536 | 2hr 19 mins
FHD: Doctor Dolittle (1998): 1920 x 1040 | 1hr 25 mins
HD: Due Date (2010): 1280 x 528 | 1hr 35 mins
HD: Easy A (2010): 1280 x 688 | 1hr 32 mins
HD: Enemy of the State (1998): 1280 x 542 | 2hr 12 mins
HD: Epic (2013): 1280 x 536 | 1hr 42 mins
HD: Evil Dead (2013): 1280 x 536 | 1hr 31 mins
HD: Ex Machina (2014): 1280 x 536 | 1hr 48 mins
HD: Fast and Furious (2009): 1280 x 534 | 1hr 46 mins
HD: Fast Five (2011): 1280 x 544 | 2hr 11 mins
HD: Fired Up! (2009): 1280 x 528 | 1hr 30 mins
FHD: Focus (2015): 1280 x 720 | 1hr 44 mins
